NAME,Income in the past 12 months below poverty level: ,Male (total): ,Male: Under 5 years,Male: 5 years,Male: 6 to 11 years,Male: 12 to 14 years,Male: 15 years,Male: 16 to 17 years,Male: 18 to 24 years,Male: 25 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 years and over,Female (total):,Female: Under 5 years,Female: 5 years,Female: 6 to 11 years,Female: 12 to 14 years,Female: 15 years,Female: 16 to 17 years,Female: 18 to 24 years,Female: 25 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 years and over
31,25.41%,11.84%,1.06%,0.00%,1.26%,0.83%,0.00%,0.31%,1.26%,1.52%,0.66%,1.86%,1.43%,1.06%,0.60%,13.58%,1.57%,0.29%,1.69%,0.00%,0.00%,2.03%,1.34%,3.37%,0.49%,0.57%,1.26%,0.14%,0.83%
32,4.64%,3.14%,0.00%,0.00%,0.12%,0.12%,0.00%,0.45%,0.51%,0.24%,0.79%,0.61%,0.30%,0.00%,0.00%,1.50%,0.00%,0.00%,0.38%,0.00%,0.00%,0.00%,0.26%,0.00%,0.57%,0.00%,0.16%,0.00%,0.14%
33,32.39%,14.37%,0.76%,1.42%,3.49%,2.18%,0.00%,0.00%,2.44%,0.91%,0.47%,0.80%,0.33%,1.56%,0.00%,18.01%,0.00%,0.69%,2.29%,0.58%,0.00%,3.13%,2.77%,1.16%,2.73%,3.53%,0.40%,0.00%,0.73%
34,29.59%,12.38%,0.28%,0.31%,2.75%,0.87%,0.00%,0.95%,2.32%,1.72%,1.36%,0.98%,0.46%,0.00%,0.36%,17.22%,2.19%,0.00%,1.93%,0.33%,0.00%,0.54%,3.40%,2.73%,1.98%,1.90%,1.54%,0.31%,0.36%
35,20.08%,8.14%,1.10%,0.00%,0.00%,0.79%,0.00%,0.00%,0.24%,0.28%,0.66%,0.93%,0.31%,3.48%,0.34%,11.94%,2.41%,0.00%,0.31%,1.00%,0.00%,0.86%,4.07%,0.00%,0.45%,0.72%,0.41%,1.38%,0.31%
101,22.13%,11.10%,0.25%,0.00%,1.90%,0.00%,0.00%,0.00%,0.83%,3.88%,1.62%,0.00%,2.16%,0.47%,0.00%,11.03%,1.40%,0.07%,3.05%,0.00%,1.69%,0.00%,0.29%,3.88%,0.00%,0.40%,0.25%,0.00%,0.00%
102.01,26.58%,6.66%,0.00%,0.92%,0.44%,0.92%,0.00%,0.00%,0.58%,0.00%,2.08%,0.69%,0.39%,0.64%,0.00%,19.91%,3.36%,0.69%,3.19%,1.44%,0.00%,0.00%,0.67%,4.25%,3.47%,0.00%,1.86%,0.31%,0.67%
102.02,32.12%,15.22%,0.00%,1.43%,2.15%,1.31%,0.00%,1.37%,0.00%,1.97%,0.00%,2.39%,2.93%,0.00%,1.67%,16.90%,1.91%,0.00%,2.21%,0.00%,0.00%,0.00%,0.06%,2.63%,2.63%,0.60%,1.79%,3.46%,1.61%
103,32.77%,25.29%,9.47%,0.00%,0.00%,0.20%,0.20%,0.00%,2.69%,9.68%,0.44%,1.38%,0.33%,0.41%,0.48%,7.48%,0.00%,0.00%,1.07%,0.00%,0.00%,0.00%,1.36%,0.00%,0.63%,1.84%,1.22%,0.42%,0.94%
104,10.38%,5.27%,0.59%,0.00%,0.65%,0.31%,0.00%,0.62%,0.97%,0.25%,0.00%,1.00%,0.34%,0.53%,0.00%,5.11%,0.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.31%,0.34%,0.34%,0.93%,0.87%,0.81%
105,8.86%,3.68%,0.75%,0.00%,0.36%,0.75%,0.00%,0.00%,0.00%,0.69%,0.16%,0.00%,0.33%,0.00%,0.62%,5.19%,0.00%,0.00%,0.79%,0.00%,0.00%,0.00%,0.00%,1.90%,0.53%,0.85%,0.20%,0.62%,0.30%
106,12.80%,7.17%,0.00%,0.00%,0.53%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,1.50%,2.28%,0.00%,2.54%,5.63%,1.19%,0.00%,1.44%,0.00%,0.00%,0.00%,0.75%,0.00%,0.81%,0.00%,0.44%,0.50%,0.50%
107,8.62%,3.90%,1.78%,0.00%,0.68%,0.15%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.78%,0.00%,0.23%,4.73%,0.20%,0.00%,0.23%,0.00%,0.00%,0.00%,1.86%,0.20%,1.58%,0.48%,0.18%,0.00%,0.00%
108,4.63%,1.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.00%,0.29%,0.00%,0.12%,0.00%,0.14%,0.60%,3.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.26%,0.41%,0.53%,0.36%,0.31%,1.12%
109.01,10.20%,4.23%,0.28%,0.00%,0.57%,1.39%,0.00%,0.00%,0.00%,0.00%,0.85%,0.50%,0.00%,0.40%,0.24%,5.97%,0.00%,0.00%,2.31%,0.00%,0.00%,0.76%,0.00%,0.28%,1.02%,1.09%,0.00%,0.00%,0.52%
109.02,5.36%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.25%,0.25%,0.00%,4.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.47%,0.50%,3.27%,0.00%,0.36%
110.01,3.71%,0.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.83%,0.00%,0.00%,2.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.53%,0.64%,0.19%,0.00%,1.40%
