Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
Goshen Interfaith Hospitality Network,"502 N Main St, Goshen 46528",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=502 N Main St, Goshen 46528"
Greater New Jerusalem Missionary Baptist Church,"215 N Johnson St, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=215 N Johnson St, South Bend, IN 46628"
Gymtown Food Pantry,"30240 County Road 22 Elkhart, IN 46517",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=30240 County Road 22 Elkhart, IN 46517"
Hannah's House - Mishawaka,"410 S Spring St, Mishawaka, IN 46544",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=410 S Spring St, Mishawaka, IN 46544"
HEAL,"333 N Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=333 N Main St, South Bend, IN 46601"
HealthLinc,"420 W 4th St, Mishawaka, IN 46544",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=420 W 4th St, Mishawaka, IN 46544"
Heroes Camp,"4130 Hickory Rd, Mishawaka, IN 46545",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=4130 Hickory Rd, Mishawaka, IN 46545"
Hope Avenue - Oaklawn,"2923 Hope Avenue, South Bend, IN 46615",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2923 Hope Avenue, South Bend, IN 46615"
Hope Ministries,"432 S Lafayette Blvd, South Bend 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=432 S Lafayette Blvd, South Bend 46601"
Hopewell Baptist Church,"1533 Prairie Ave, South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1533 Prairie Ave, South Bend, IN 46613"
